geometry,start
"{""type"": ""Point"", ""coordinates"": [-73.964839,40.79127]}",86
"{""type"": ""Point"", ""coordinates"": [-73.97895137,40.68312489]}",85
"{""type"": ""Point"", ""coordinates"": [-73.96648977,40.76440023]}",84
"{""type"": ""Point"", ""coordinates"": [-74.01713445,40.70834698]}",84
"{""type"": ""Point"", ""coordinates"": [-73.98753523,40.75172632]}",84
"{""type"": ""Point"", ""coordinates"": [-74.00859207,40.7361967]}",82
"{""type"": ""Point"", ""coordinates"": [-73.9786517,40.7829391]}",81
"{""type"": ""Point"", ""coordinates"": [-73.95852515,40.7190095]}",81
"{""type"": ""Point"", ""coordinates"": [-73.97031366,40.75968085]}",80
"{""type"": ""Point"", ""coordinates"": [-73.98288594,40.77748046]}",79
"{""type"": ""Point"", ""coordinates"": [-74.01122332,40.71485151]}",79
"{""type"": ""Point"", ""coordinates"": [-73.99158043,40.73261787]}",79
"{""type"": ""Point"", ""coordinates"": [-73.97137,40.78275]}",79
"{""type"": ""Point"", ""coordinates"": [-73.97209525,40.76302594]}",78
"{""type"": ""Point"", ""coordinates"": [-73.98085795,40.7208736]}",78
"{""type"": ""Point"", ""coordinates"": [-73.98016555,40.71739973]}",78
"{""type"": ""Point"", ""coordinates"": [-73.97109243,40.76350532]}",78
"{""type"": ""Point"", ""coordinates"": [-73.98517977,40.72066442]}",78
"{""type"": ""Point"", ""coordinates"": [-73.98690506,40.76584941]}",77
"{""type"": ""Point"", ""coordinates"": [-73.98776323,40.71269042]}",77
"{""type"": ""Point"", ""coordinates"": [-73.96525063,40.71044554]}",77
"{""type"": ""Point"", ""coordinates"": [-74.00612572,40.70530954]}",76
"{""type"": ""Point"", ""coordinates"": [-73.96784384,40.75206862]}",76
"{""type"": ""Point"", ""coordinates"": [-73.98631746,40.69236178]}",76
"{""type"": ""Point"", ""coordinates"": [-73.98917958,40.76360468]}",76
"{""type"": ""Point"", ""coordinates"": [-73.95840794,40.76876203]}",76
"{""type"": ""Point"", ""coordinates"": [-73.97667321,40.78524672]}",76
"{""type"": ""Point"", ""coordinates"": [-74.00562789,40.71450451]}",76
"{""type"": ""Point"", ""coordinates"": [-74.00234482,40.71494807]}",75
"{""type"": ""Point"", ""coordinates"": [-74.00722156,40.70862144]}",75
"{""type"": ""Point"", ""coordinates"": [-74.00026394,40.73224119]}",75
"{""type"": ""Point"", ""coordinates"": [-73.944507,40.715143]}",75
"{""type"": ""Point"", ""coordinates"": [-73.99595065,40.69512845]}",74
"{""type"": ""Point"", ""coordinates"": [-73.96427393,40.77632142]}",74
"{""type"": ""Point"", ""coordinates"": [-73.95779,40.72906]}",74
"{""type"": ""Point"", ""coordinates"": [-73.9551276,40.77755374]}",73
"{""type"": ""Point"", ""coordinates"": [-74.005549,40.717571]}",73
"{""type"": ""Point"", ""coordinates"": [-73.9919254,40.72110063]}",73
"{""type"": ""Point"", ""coordinates"": [-73.97111473,40.6750207]}",72
"{""type"": ""Point"", ""coordinates"": [-73.99293911,40.71406667]}",72
"{""type"": ""Point"", ""coordinates"": [-73.97728533,40.78018397]}",71
"{""type"": ""Point"", ""coordinates"": [-74.013942,40.701907]}",71
"{""type"": ""Point"", ""coordinates"": [-73.95482273,40.7689738]}",69
"{""type"": ""Point"", ""coordinates"": [-73.96699104,40.804213]}",69
"{""type"": ""Point"", ""coordinates"": [-73.97324283,40.6776147]}",69
"{""type"": ""Point"", ""coordinates"": [-74.01234218,40.70122128]}",69
"{""type"": ""Point"", ""coordinates"": [-73.9471673,40.7839636]}",69
"{""type"": ""Point"", ""coordinates"": [-74.00167,40.707873]}",68
"{""type"": ""Point"", ""coordinates"": [-73.97121414,40.75022392]}",68
"{""type"": ""Point"", ""coordinates"": [-73.98432695,40.6802133]}",68
"{""type"": ""Point"", ""coordinates"": [-73.97668709,40.72228087]}",68
"{""type"": ""Point"", ""coordinates"": [-73.97995466,40.72299208]}",67
"{""type"": ""Point"", ""coordinates"": [-74.0090009,40.71870987]}",67
"{""type"": ""Point"", ""coordinates"": [-74.00666661,40.71911552]}",67
"{""type"": ""Point"", ""coordinates"": [-73.971888,40.7937704]}",67
"{""type"": ""Point"", ""coordinates"": [-73.97880077,40.74757396]}",67
"{""type"": ""Point"", ""coordinates"": [-73.98918696,40.77515953]}",67
"{""type"": ""Point"", ""coordinates"": [-73.94965589,40.7811223]}",67
"{""type"": ""Point"", ""coordinates"": [-73.97793172,40.72082834]}",66
"{""type"": ""Point"", ""coordinates"": [-73.977112,40.7867947]}",66
"{""type"": ""Point"", ""coordinates"": [-74.00731853,40.70706456]}",66
"{""type"": ""Point"", ""coordinates"": [-73.98451656,40.68841743]}",65
"{""type"": ""Point"", ""coordinates"": [-73.99203074,40.6902375]}",65
"{""type"": ""Point"", ""coordinates"": [-73.990539,40.69383]}",65
"{""type"": ""Point"", ""coordinates"": [-73.96286845,40.79406661]}",65
"{""type"": ""Point"", ""coordinates"": [-73.968896,40.693261]}",65
"{""type"": ""Point"", ""coordinates"": [-73.97945255,40.66106337]}",65
"{""type"": ""Point"", ""coordinates"": [-74.0127234,40.70255065]}",64
"{""type"": ""Point"", ""coordinates"": [-73.94073717,40.75110165]}",64
"{""type"": ""Point"", ""coordinates"": [-73.9607082,40.8067581]}",64
"{""type"": ""Point"", ""coordinates"": [-73.955613,40.799484]}",63
"{""type"": ""Point"", ""coordinates"": [-73.9567526,40.77573034]}",63
"{""type"": ""Point"", ""coordinates"": [-73.99183363,40.69102926]}",63
"{""type"": ""Point"", ""coordinates"": [-73.986274,40.720747]}",63
"{""type"": ""Point"", ""coordinates"": [-73.98971773,40.69991755]}",62
"{""type"": ""Point"", ""coordinates"": [-73.95299117,40.72708584]}",62
"{""type"": ""Point"", ""coordinates"": [-73.96526895,40.76312584]}",62
"{""type"": ""Point"", ""coordinates"": [-73.96536851,40.69196035]}",61
"{""type"": ""Point"", ""coordinates"": [-73.97178913,40.69308257]}",61
"{""type"": ""Point"", ""coordinates"": [-73.99337909,40.69239502]}",61
"{""type"": ""Point"", ""coordinates"": [-73.97523209,40.67514684]}",61
"{""type"": ""Point"", ""coordinates"": [-74.00838676,40.7037992]}",61
"{""type"": ""Point"", ""coordinates"": [-73.94434,40.72557]}",60
"{""type"": ""Point"", ""coordinates"": [-73.99400398,40.71076228]}",60
"{""type"": ""Point"", ""coordinates"": [-73.97754961,40.7785669]}",60
"{""type"": ""Point"", ""coordinates"": [-73.9622207,40.76471852]}",60
"{""type"": ""Point"", ""coordinates"": [-73.96264403,40.71260486]}",60
"{""type"": ""Point"", ""coordinates"": [-73.96226227,40.75892386]}",59
"{""type"": ""Point"", ""coordinates"": [-73.96885458,40.68940747]}",59
"{""type"": ""Point"", ""coordinates"": [-73.987167,40.695065]}",59
"{""type"": ""Point"", ""coordinates"": [-73.98093133,40.78339981]}",58
"{""type"": ""Point"", ""coordinates"": [-73.971518,40.766368]}",58
"{""type"": ""Point"", ""coordinates"": [-73.984844,40.713126]}",58
"{""type"": ""Point"", ""coordinates"": [-73.99193043,40.71173107]}",58
"{""type"": ""Point"", ""coordinates"": [-73.95249933,40.7922553]}",57
"{""type"": ""Point"", ""coordinates"": [-74.00552427,40.71146364]}",57
"{""type"": ""Point"", ""coordinates"": [-73.97041192,40.7973721]}",56
"{""type"": ""Point"", ""coordinates"": [-73.99475825,40.680611]}",56
"{""type"": ""Point"", ""coordinates"": [-73.99612349,40.69089272]}",56
"{""type"": ""Point"", ""coordinates"": [-73.95394,40.73026]}",56
"{""type"": ""Point"", ""coordinates"": [-73.97574813,40.72368361]}",55
"{""type"": ""Point"", ""coordinates"": [-73.98261206,40.71622644]}",55
"{""type"": ""Point"", ""coordinates"": [-73.9523,40.7987859]}",55
"{""type"": ""Point"", ""coordinates"": [-73.95772073,40.77862688]}",55
"{""type"": ""Point"", ""coordinates"": [-73.9739,40.7921]}",54
"{""type"": ""Point"", ""coordinates"": [-73.9576801,40.6707767]}",54
"{""type"": ""Point"", ""coordinates"": [-73.954692,40.805159]}",54
"{""type"": ""Point"", ""coordinates"": [-73.95068615,40.77565541]}",53
"{""type"": ""Point"", ""coordinates"": [-73.97839676,40.6703837]}",53
"{""type"": ""Point"", ""coordinates"": [-73.9842844,40.69221589]}",53
"{""type"": ""Point"", ""coordinates"": [-73.9521667,40.7806284]}",53
"{""type"": ""Point"", ""coordinates"": [-73.96224618,40.7671284]}",53
"{""type"": ""Point"", ""coordinates"": [-73.98362464,40.69474881]}",52
"{""type"": ""Point"", ""coordinates"": [-73.98562431,40.78057799]}",52
"{""type"": ""Point"", ""coordinates"": [-73.98912867,40.68926942]}",52
"{""type"": ""Point"", ""coordinates"": [-73.95427465,40.77477945]}",51
"{""type"": ""Point"", ""coordinates"": [-73.98888588,40.77750703]}",51
"{""type"": ""Point"", ""coordinates"": [-73.957145,40.801694]}",51
"{""type"": ""Point"", ""coordinates"": [-73.9647628,40.68851534]}",51
"{""type"": ""Point"", ""coordinates"": [-73.95212324,40.72311651]}",51
"{""type"": ""Point"", ""coordinates"": [-73.99917254,40.6847514]}",51
"{""type"": ""Point"", ""coordinates"": [-73.94594,40.7817212]}",50
"{""type"": ""Point"", ""coordinates"": [-73.98470567,40.7746671]}",50
"{""type"": ""Point"", ""coordinates"": [-73.97948148,40.71219906]}",50
"{""type"": ""Point"", ""coordinates"": [-73.99383605,40.70277159]}",50
"{""type"": ""Point"", ""coordinates"": [-73.94989233,40.7728384]}",50
"{""type"": ""Point"", ""coordinates"": [-73.953559,40.787801]}",49
"{""type"": ""Point"", ""coordinates"": [-73.97422494,40.72580614]}",49
"{""type"": ""Point"", ""coordinates"": [-73.97265183,40.68753406]}",49
"{""type"": ""Point"", ""coordinates"": [-73.962658,40.759125]}",49
"{""type"": ""Point"", ""coordinates"": [-73.96023854,40.68900443]}",48
"{""type"": ""Point"", ""coordinates"": [-73.96069399,40.7781314]}",48
"{""type"": ""Point"", ""coordinates"": [-73.9490782,40.8025566]}",48
"{""type"": ""Point"", ""coordinates"": [-73.92093346,40.76754878]}",48
"{""type"": ""Point"", ""coordinates"": [-73.96751037,40.69610226]}",48
"{""type"": ""Point"", ""coordinates"": [-73.9707756,40.69795032]}",48
"{""type"": ""Point"", ""coordinates"": [-73.953149,40.809725]}",48
"{""type"": ""Point"", ""coordinates"": [-73.96818053,40.8021174]}",47
"{""type"": ""Point"", ""coordinates"": [-74.0104554,40.71748752]}",47
"{""type"": ""Point"", ""coordinates"": [-73.94984365,40.72395678]}",47
"{""type"": ""Point"", ""coordinates"": [-73.95004798,40.68098339]}",47
"{""type"": ""Point"", ""coordinates"": [-73.95698119,40.71286844]}",47
"{""type"": ""Point"", ""coordinates"": [-73.95856158,40.77314236]}",47
"{""type"": ""Point"", ""coordinates"": [-73.95234386,40.71413311]}",47
"{""type"": ""Point"", ""coordinates"": [-73.98352355,40.6728155]}",47
"{""type"": ""Point"", ""coordinates"": [-73.96644925,40.8008363]}",46
"{""type"": ""Point"", ""coordinates"": [-73.9488134,40.778301]}",46
