geometry,start,end
"{""type"": ""Point"", ""coordinates"": [-73.98631746,40.69236178]}",90,87
"{""type"": ""Point"", ""coordinates"": [-73.95482273,40.7689738]}",88,83
"{""type"": ""Point"", ""coordinates"": [-74.00483091,40.73535398]}",88,72
"{""type"": ""Point"", ""coordinates"": [-73.98753523,40.75172632]}",87,84
"{""type"": ""Point"", ""coordinates"": [-73.98940236,40.70255088]}",87,81
"{""type"": ""Point"", ""coordinates"": [-73.97667321,40.78524672]}",87,85
"{""type"": ""Point"", ""coordinates"": [-73.97031366,40.75968085]}",87,89
"{""type"": ""Point"", ""coordinates"": [-74.00167,40.707873]}",87,95
"{""type"": ""Point"", ""coordinates"": [-73.99383605,40.70277159]}",86,60
"{""type"": ""Point"", ""coordinates"": [-74.00731853,40.70706456]}",86,70
"{""type"": ""Point"", ""coordinates"": [-73.960876,40.710451]}",86,87
"{""type"": ""Point"", ""coordinates"": [-73.98329859,40.71850211]}",86,93
"{""type"": ""Point"", ""coordinates"": [-74.00965965,40.72405549]}",86,95
"{""type"": ""Point"", ""coordinates"": [-73.98917958,40.76360468]}",85,91
"{""type"": ""Point"", ""coordinates"": [-73.964839,40.79127]}",85,97
"{""type"": ""Point"", ""coordinates"": [-73.971888,40.7937704]}",85,105
"{""type"": ""Point"", ""coordinates"": [-73.99344559,40.69760127]}",84,93
"{""type"": ""Point"", ""coordinates"": [-73.9551276,40.77755374]}",84,80
"{""type"": ""Point"", ""coordinates"": [-73.986274,40.720747]}",84,75
"{""type"": ""Point"", ""coordinates"": [-73.99510132,40.73331967]}",84,86
"{""type"": ""Point"", ""coordinates"": [-73.95520136,40.71816969]}",84,75
"{""type"": ""Point"", ""coordinates"": [-73.95249933,40.7922553]}",83,92
"{""type"": ""Point"", ""coordinates"": [-73.96525063,40.71044554]}",83,77
"{""type"": ""Point"", ""coordinates"": [-73.968896,40.693261]}",83,71
"{""type"": ""Point"", ""coordinates"": [-73.9786517,40.7829391]}",82,76
"{""type"": ""Point"", ""coordinates"": [-73.955613,40.799484]}",81,66
"{""type"": ""Point"", ""coordinates"": [-73.95779,40.72906]}",81,83
"{""type"": ""Point"", ""coordinates"": [-73.97880077,40.74757396]}",80,79
"{""type"": ""Point"", ""coordinates"": [-73.96427393,40.77632142]}",80,90
"{""type"": ""Point"", ""coordinates"": [-73.987167,40.695065]}",80,74
"{""type"": ""Point"", ""coordinates"": [-74.0091059,40.71625008]}",79,76
"{""type"": ""Point"", ""coordinates"": [-74.00859207,40.7361967]}",78,72
"{""type"": ""Point"", ""coordinates"": [-73.99158043,40.73261787]}",78,86
"{""type"": ""Point"", ""coordinates"": [-73.9919254,40.72110063]}",78,77
"{""type"": ""Point"", ""coordinates"": [-73.97209525,40.76302594]}",77,77
"{""type"": ""Point"", ""coordinates"": [-73.97137,40.78275]}",77,98
"{""type"": ""Point"", ""coordinates"": [-73.97109243,40.76350532]}",77,79
"{""type"": ""Point"", ""coordinates"": [-73.9471673,40.7839636]}",77,75
"{""type"": ""Point"", ""coordinates"": [-73.944507,40.715143]}",77,57
"{""type"": ""Point"", ""coordinates"": [-74.01713445,40.70834698]}",77,88
"{""type"": ""Point"", ""coordinates"": [-74.00612572,40.70530954]}",77,79
"{""type"": ""Point"", ""coordinates"": [-73.97728533,40.78018397]}",76,100
"{""type"": ""Point"", ""coordinates"": [-73.99595065,40.69512845]}",76,68
"{""type"": ""Point"", ""coordinates"": [-73.99682619,40.71117444]}",76,74
"{""type"": ""Point"", ""coordinates"": [-73.97668709,40.72228087]}",76,88
"{""type"": ""Point"", ""coordinates"": [-73.98888588,40.77750703]}",75,76
"{""type"": ""Point"", ""coordinates"": [-74.0127234,40.70255065]}",75,77
"{""type"": ""Point"", ""coordinates"": [-73.97793172,40.72082834]}",75,79
